date,coronavirus/covid(US),coronavirus/covid(AL),coronavirus/covid(AK),coronavirus/covid(AZ),coronavirus/covid(AR),coronavirus/covid(CA),coronavirus/covid(CO),coronavirus/covid(CT),coronavirus/covid(DE),coronavirus/covid(DC),coronavirus/covid(FL),coronavirus/covid(GA),coronavirus/covid(HI),coronavirus/covid(ID),coronavirus/covid(IL),coronavirus/covid(IN),coronavirus/covid(IA),coronavirus/covid(KS),coronavirus/covid(KY),coronavirus/covid(LA),coronavirus/covid(ME),coronavirus/covid(MD),coronavirus/covid(MA),coronavirus/covid(MI),coronavirus/covid(MN),coronavirus/covid(MS),coronavirus/covid(MO),coronavirus/covid(MT),coronavirus/covid(NE),coronavirus/covid(NV),coronavirus/covid(NH),coronavirus/covid(NJ),coronavirus/covid(NM),coronavirus/covid(NY),coronavirus/covid(NC),coronavirus/covid(ND),coronavirus/covid(OH),coronavirus/covid(OK),coronavirus/covid(OR),coronavirus/covid(PA),coronavirus/covid(RI),coronavirus/covid(SC),coronavirus/covid(SD),coronavirus/covid(TN),coronavirus/covid(TX),coronavirus/covid(UT),coronavirus/covid(VT),coronavirus/covid(VA),coronavirus/covid(WA),coronavirus/covid(WV),coronavirus/covid(WI),coronavirus/covid(WY)
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
