date,count
2020-01-02,1
2020-01-03,4
2020-01-06,2
2020-01-07,3
2020-01-08,5
2020-01-09,4
2020-01-10,2
2020-01-11,2
2020-01-13,5
2020-01-14,6
2020-01-15,7
2020-01-16,4
2020-01-17,6
2020-01-18,3
2020-01-19,3
2020-01-20,19
2020-01-21,51
2020-01-22,103
2020-01-23,108
2020-01-24,108
2020-01-25,28
2020-01-26,40
2020-01-27,127
2020-01-28,173
2020-01-29,165
2020-01-30,198
2020-01-31,221
2020-02-01,83
2020-02-02,54
2020-02-03,150
2020-02-04,180
2020-02-05,202
2020-02-06,183
2020-02-07,241
2020-02-08,66
2020-02-09,49
2020-02-10,175
2020-02-11,206
2020-02-12,219
2020-02-13,303
2020-02-14,245
2020-02-15,67
2020-02-16,64
2020-02-17,142
2020-02-18,208
2020-02-19,192
2020-02-20,187
2020-02-21,182
2020-02-22,54
2020-02-23,61
2020-02-24,295
2020-02-25,307
2020-02-26,395
2020-02-27,423
2020-02-28,421
2020-02-29,163
2020-03-01,174
2020-03-02,482
2020-03-03,558
2020-03-04,568
2020-03-05,585
2020-03-06,594
2020-03-07,192
2020-03-08,206
2020-03-09,723
2020-03-10,735
2020-03-11,877
2020-03-12,1278
2020-03-13,1343
2020-03-14,482
2020-03-15,485
2020-03-16,1382
2020-03-17,1483
2020-03-18,1575
2020-03-19,1701
2020-03-20,1371
2020-03-21,546
2020-03-22,568
2020-03-23,1448
2020-03-24,1585
2020-03-25,1648
2020-03-26,1680
2020-03-27,1833
2020-03-28,708
2020-03-29,629
2020-03-30,1480
2020-03-31,1580
2020-04-01,1463
2020-04-02,1506
2020-04-03,1391
2020-04-04,634
2020-04-05,604
2020-04-06,1152
2020-04-07,1171
2020-04-08,1136
2020-04-09,1096
2020-04-10,807
2020-04-11,527
2020-04-12,469
2020-04-13,787
2020-04-14,1040
2020-04-15,1091
2020-04-16,1154
2020-04-17,1020
2020-04-18,561
2020-04-19,505
2020-04-20,954
2020-04-21,884
2020-04-22,976
2020-04-23,934
2020-04-24,815
2020-04-25,414
2020-04-26,380
2020-04-27,764
2020-04-28,897
2020-04-29,939
2020-04-30,962
2020-05-01,759
2020-05-02,385
2020-05-03,407
2020-05-04,804
2020-05-05,839
2020-05-06,889
2020-05-07,913
2020-05-08,682
2020-05-09,428
2020-05-10,422
2020-05-11,797
2020-05-12,887
2020-05-13,847
2020-05-14,973
2020-05-15,993
2020-05-16,536
2020-05-17,515
2020-05-18,884
2020-05-19,996
2020-05-20,1097
2020-05-21,1026
2020-05-22,994
2020-05-23,308
2020-05-24,336
2020-05-25,393
2020-05-26,525
