zipcode,state,state_fips,county,county_fips,county_population,county_urban_pct
00501,NY,36,Suffolk County,103,1493350,97.4
00544,NY,36,Suffolk County,103,1493350,97.4
00601,PR,72,Adjuntas Municipio,001,19483,56.46
00602,PR,72,Aguada Municipio,003,41959,100
00603,PR,72,Aguadilla Municipio,005,60949,99.93
00604,PR,,,,,
00605,PR,,,,,
00606,PR,72,Maricao Municipio,093,6276,42.97
00610,PR,72,Anasco Municipio,011,29261,87.41
00611,PR,,,,,
00612,PR,72,Arecibo Municipio,013,96440,90.63
00613,PR,,,,,
00614,PR,,,,,
00616,PR,72,Arecibo Municipio,013,96440,90.63
00617,PR,72,Barceloneta Municipio,017,24816,97.95
00622,PR,72,Cabo Rojo Municipio,023,50917,95.47
00623,PR,72,Cabo Rojo Municipio,023,50917,95.47
00624,PR,72,Penuelas Municipio,111,24282,83.63
00627,PR,72,Camuy Municipio,027,35159,86.51
00631,PR,72,Lares Municipio,081,30753,74.28
00636,PR,,,,,
00637,PR,72,Sabana Grande Municipio,121,25265,91.68
00638,PR,72,Ciales Municipio,039,18782,61.55
00641,PR,72,Utuado Municipio,141,33149,53.07
00646,PR,72,Dorado Municipio,051,38165,99.98
00647,PR,72,Guanica Municipio,055,19427,88.74
00650,PR,72,Florida Municipio,054,12680,82.09
00652,PR,72,Arecibo Municipio,013,96440,90.63
00653,PR,72,Guanica Municipio,055,19427,88.74
00656,PR,72,Guayanilla Municipio,059,21581,87.89
00659,PR,72,Hatillo Municipio,065,41953,89.16
00660,PR,72,Hormigueros Municipio,067,17250,99.8
00662,PR,72,Isabela Municipio,071,45631,93.46
00664,PR,72,Jayuya Municipio,073,16642,67.9
00667,PR,72,Lajas Municipio,079,25753,81.73
00669,PR,72,Lares Municipio,081,30753,74.28
00670,PR,72,Las Marias Municipio,083,9881,33.69
00674,PR,72,Manati Municipio,091,44113,93.07
00676,PR,72,Moca Municipio,099,40109,87.44
00677,PR,72,Rincon Municipio,117,15200,100
00678,PR,72,Quebradillas Municipio,115,25919,92.45
00680,PR,72,Mayaguez Municipio,097,89080,95.94
00681,PR,,,,,
00682,PR,72,Mayaguez Municipio,097,89080,95.94
00683,PR,72,San German Municipio,125,35527,91.1
00685,PR,72,San Sebastian Municipio,131,42430,86.88
00687,PR,72,Morovis Municipio,101,32610,88.94
00688,PR,72,Arecibo Municipio,013,96440,90.63
00690,PR,72,Aguadilla Municipio,005,60949,99.93
00692,PR,72,Vega Alta Municipio,143,39951,98.25
00693,PR,72,Vega Baja Municipio,145,59662,95.82
00694,PR,72,Vega Baja Municipio,145,59662,95.82
00698,PR,72,Yauco Municipio,153,42043,81.59
00703,PR,72,Aguas Buenas Municipio,007,28659,89.46
00704,PR,72,Salinas Municipio,123,31078,86.31
00705,PR,72,Aibonito Municipio,009,25900,87.99
00707,PR,72,Maunabo Municipio,095,12225,75.89
00714,PR,72,Arroyo Municipio,015,19575,95.78
00715,PR,72,Ponce Municipio,113,166327,95.59
00716,PR,72,Ponce Municipio,113,166327,95.59
00717,PR,72,Ponce Municipio,113,166327,95.59
00718,PR,72,Naguabo Municipio,103,26720,91.62
00719,PR,72,Naranjito Municipio,105,30402,100
00720,PR,72,Orocovis Municipio,107,23423,64.11
00721,PR,,,,,
00723,PR,72,Patillas Municipio,109,19277,74.42
00725,PR,72,Caguas Municipio,025,142893,99.1
00726,PR,,,,,
00727,PR,72,Caguas Municipio,025,142893,99.1
00728,PR,72,Ponce Municipio,113,166327,95.59
00729,PR,72,Canovanas Municipio,029,47648,97.72
00730,PR,72,Ponce Municipio,113,166327,95.59
00731,PR,72,Ponce Municipio,113,166327,95.59
00732,PR,,,,,
00733,PR,,,,,
00734,PR,,,,,
00735,PR,72,Ceiba Municipio,037,13631,88.19
00736,PR,72,Cayey Municipio,035,48119,90.84
00737,PR,,,,,
00738,PR,72,Fajardo Municipio,053,36993,97.88
00739,PR,72,Cidra Municipio,041,43480,96.11
00740,PR,72,Fajardo Municipio,053,36993,97.88
00741,PR,72,Humacao Municipio,069,58466,99.52
00742,PR,,,,,
00744,PR,,,,,
00745,PR,72,Rio Grande Municipio,119,54304,97.44
00751,PR,72,Salinas Municipio,123,31078,86.31
00754,PR,72,San Lorenzo Municipio,129,41058,88.78
00757,PR,72,Santa Isabel Municipio,133,23274,87.2
00765,PR,72,Vieques Municipio,147,9301,88.49
00766,PR,72,Villalba Municipio,149,26073,86.54
00767,PR,72,Yabucoa Municipio,151,37941,84.85
00769,PR,72,Coamo Municipio,043,40512,81.13
00771,PR,72,Las Piedras Municipio,085,38675,97.57
00772,PR,72,Loiza Municipio,087,30060,99.26
00773,PR,72,Luquillo Municipio,089,20068,91.14
00775,PR,72,Culebra Municipio,049,1818,0
00777,PR,72,Juncos Municipio,077,40290,96.79
00778,PR,72,Gurabo Municipio,063,45369,99.64
00780,PR,72,Ponce Municipio,113,166327,95.59
00782,PR,72,Comerio Municipio,045,20778,87.44
00783,PR,72,Corozal Municipio,047,37142,93.62
00784,PR,72,Guayama Municipio,057,45362,90.88
00785,PR,,,,,
00786,PR,72,Aibonito Municipio,009,25900,87.99
00791,PR,72,Humacao Municipio,069,58466,99.52
00792,PR,,,,,
00794,PR,72,Barranquitas Municipio,019,30318,96.81
00795,PR,72,Juana Diaz Municipio,075,50747,93.26
00801,VI,,,,,
00802,VI,,,,,
00803,VI,,,,,
00804,VI,,,,,
00805,VI,,,,,
00820,VI,,,,,
00821,VI,,,,,
00822,VI,,,,,
00823,VI,,,,,
00824,VI,,,,,
00830,VI,,,,,
00831,VI,,,,,
00840,VI,,,,,
00841,VI,,,,,
00850,VI,,,,,
00851,VI,,,,,
00901,PR,72,San Juan Municipio,127,395326,100
